what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247055291
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404247055917
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247070305
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247076245
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247080511
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1404247098217
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404247100505
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247360132
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247453821
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247455255
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404247465055
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247474699
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247474734
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247484622
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1404247489732
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404247491149
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247565619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247730156
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247734281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247744382
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404247746049
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1404247776257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1404247780187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1404247782099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1404247783400
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404247785516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404247786706
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404248281434
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404248285685
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404248311544
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404248311581
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404248370967
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404248370968
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404248372268
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404248372578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404248381969
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404248387057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404248454969
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249013792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249247926
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404249249026
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404249255824
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249266256
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249882520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249944981
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404249996538
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404250004531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404250414771
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404250422584
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404250630153
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404250728148
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404250756704
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404250876557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404250880720
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1404250880775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404251852485
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404251871551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404252070451
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404252078648
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404252101903
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404252913522
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404252915404
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404252920124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404252964356
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404253608551
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404253610402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404253612538
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1404253637737
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404253701308
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404253737396
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404254139184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404254151833
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404254550181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404254676286
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255136062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255159848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255254127
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255299068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255324838
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404255556612
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404255560076
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404255560113
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404255570753
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404255570753
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1404255616237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255632323
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255684201
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404255685591
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404255742492
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404256127933
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404256324246
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404256330814
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404257025323
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1404257040684
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404257040827
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257041677
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257076920
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257086732
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257500274
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257500309
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404257515200
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.navigate.backwardHistory",1404257515201
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404257537537
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1404258056363
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259254059
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259283888
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259304417
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1404259315338
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259316431
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1404259319560
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1404259351010
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1404259352453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404259368367
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259378281
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404259383911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404259407081
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404259927407
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404259939291
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404260247752
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404260249833
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404260890462
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404260891960
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404260897904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404260907889
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1404261237777
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404261245591
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261245934
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261245970
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.edit.open.call.hierarchy",1404261256495
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.callHierarchy",1404261256772
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261265420
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261265479
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261265479
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1404261266813
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1404261277456
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1404261282431
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1404261288790
